Location,Ant_ID,Ant_ID_(partner),start_time,end_time,,,,,,,,,,,,,,,,,,,,,
1,754,657,1712,1739,,,,,,,,,,,,,,,,,,,,,
1,36,419,1738,1840,,,,,,,,,,,,,,,,,,,,,
1,419,36,1738,1840,,,,,,,,,,,,,,,,,,,,,
1,495,599,1743,1929,,,,,,,,,,,,,,,,,,,,,
1,599,495,1743,1929,,,,,,,,,,,,,,,,,,,,,
1,33,532,1753,1765,,,,,,,,,,,,,,,,,,,,,
1,532,33,1753,1765,,,,,,,,,,,,,,,,,,,,,
1,453,666,1771,1792,,,,,,,,,,,,,,,,,,,,,
1,666,453,1771,1792,,,,,,,,,,,,,,,,,,,,,
1,33,532,1791,1795,,,,,,,,,,,,,,,,,,,,,
1,532,33,1791,1795,,,,,,,,,,,,,,,,,,,,,
1,571,424,1797,1867,,,,,,,,,,,,,,,,,,,,,
1,424,571,1797,1867,,,,,,,,,,,,,,,,,,,,,
1,33,532,1805,1809,,,,,,,,,,,,,,,,,,,,,
1,532,33,1805,1809,,,,,,,,,,,,,,,,,,,,,
1,765,108,1810,1815,,,,,,,,,,,,,,,,,,,,,
1,108,765,1810,1815,,,,,,,,,,,,,,,,,,,,,
1,66,754,1813,1827,,,,,,,,,,,,,,,,,,,,,
1,754,66,1813,1827,,,,,,,,,,,,,,,,,,,,,
1,66,754,1831,1834,,,,,,,,,,,,,,,,,,,,,
1,754,66,1831,1834,,,,,,,,,,,,,,,,,,,,,
1,626,66,1845,1854,,,,,,,,,,,,,,,,,,,,,
1,66,626,1845,1854,,,,,,,,,,,,,,,,,,,,,
1,819,108,1848,1881,,,,,,,,,,,,,,,,,,,,,
1,108,819,1848,1881,,,,,,,,,,,,,,,,,,,,,
1,626,66,1859,1874,,,,,,,,,,,,,,,,,,,,,
1,66,626,1859,1874,,,,,,,,,,,,,,,,,,,,,
1,571,424,1870,1880,,,,,,,,,,,,,,,,,,,,,
1,424,571,1870,1880,,,,,,,,,,,,,,,,,,,,,
1,605,66,1877,1879,,,,,,,,,,,,,,,,,,,,,
1,66,605,1877,1879,,,,,,,,,,,,,,,,,,,,,
1,666,33,1887,1904,,,,,,,,,,,,,,,,,,,,,
1,33,666,1887,1904,,,,,,,,,,,,,,,,,,,,,
1,424,108,1924,1927,,,,,,,,,,,,,,,,,,,,,
1,108,424,1924,1927,,,,,,,,,,,,,,,,,,,,,
1,33,495,1935,1940,,,,,,,,,,,,,,,,,,,,,
1,495,33,1935,1940,,,,,,,,,,,,,,,,,,,,,
1,666,33,1950,1955,,,,,,,,,,,,,,,,,,,,,
1,33,666,1950,1955,,,,,,,,,,,,,,,,,,,,,
1,36,66,1957,1969,,,,,,,,,,,,,,,,,,,,,
1,66,36,1957,1969,,,,,,,,,,,,,,,,,,,,,
1,424,722,1975,2095,,,,,,,,,,,,,,,,,,,,,
1,722,424,1975,2095,,,,,,,,,,,,,,,,,,,,,
1,33,755,1986,2003,,,,,,,,,,,,,,,,,,,,,
1,755,33,1986,2003,,,,,,,,,,,,,,,,,,,,,
1,532,666,1992,1999,,,,,,,,,,,,,,,,,,,,,
1,666,532,1992,1999,,,,,,,,,,,,,,,,,,,,,
1,36,108,2018,2026,,,,,,,,,,,,,,,,,,,,,
1,108,36,2018,2026,,,,,,,,,,,,,,,,,,,,,
1,33,755,2038,2053,,,,,,,,,,,,,,,,,,,,,
1,755,33,2038,2053,,,,,,,,,,,,,,,,,,,,,
1,453,532,2073,2083,,,,,,,,,,,,,,,,,,,,,
1,532,453,2073,2083,,,,,,,,,,,,,,,,,,,,,
1,453,532,2102,2124,,,,,,,,,,,,,,,,,,,,,
1,532,453,2102,2124,,,,,,,,,,,,,,,,,,,,,
1,66,657,2106,2166,,,,,,,,,,,,,,,,,,,,,
1,657,66,2106,2166,,,,,,,,,,,,,,,,,,,,,
1,543,795,2155,2207,,,,,,,,,,,,,,,,,,,,,
1,795,543,2155,2207,,,,,,,,,,,,,,,,,,,,,
1,532,33,2164,2178,,,,,,,,,,,,,,,,,,,,,
1,33,532,2164,2178,,,,,,,,,,,,,,,,,,,,,
1,605,424,2209,2470,,,,,,,,,,,,,,,,,,,,,
1,424,605,2209,2470,,,,,,,,,,,,,,,,,,,,,
1,453,33,2236,2257,,,,,,,,,,,,,,,,,,,,,
1,33,453,2236,2257,,,,,,,,,,,,,,,,,,,,,
1,543,424,2238,2246,,,,,,,,,,,,,,,,,,,,,
1,543,605,2238,2246,,,,,,,,,,,,,,,,,,,,,
1,605,543,2238,2246,,,,,,,,,,,,,,,,,,,,,
1,424,543,2238,2246,,,,,,,,,,,,,,,,,,,,,
1,543,795,2275,2279,,,,,,,,,,,,,,,,,,,,,
1,795,543,2275,2279,,,,,,,,,,,,,,,,,,,,,
1,108,q,2276,2292,,,,,,,,,,,,,,,,,,,,,
1,q,108,2276,2292,,,,,,,,,,,,,,,,,,,,,
1,722,626,2283,2292,,,,,,,,,,,,,,,,,,,,,
1,626,722,2283,2292,,,,,,,,,,,,,,,,,,,,,
1,543,795,2286,2312,,,,,,,,,,,,,,,,,,,,,
1,795,543,2286,2312,,,,,,,,,,,,,,,,,,,,,
1,q,108,2295,2302,,,,,,,,,,,,,,,,,,,,,
1,108,q,2295,2302,,,,,,,,,,,,,,,,,,,,,
1,543,795,2333,2362,,,,,,,,,,,,,,,,,,,,,
1,795,543,2333,2362,,,,,,,,,,,,,,,,,,,,,
1,532,755,2342,2353,,,,,,,,,,,,,,,,,,,,,
1,755,532,2342,2353,,,,,,,,,,,,,,,,,,,,,
