Location,Ant_ID,Ant_ID_(partner),start_time,end_time,,,,,,,,,,,,,,,,,,
1,32,532,6275,6286,,,,,,,,,,,,,,,,,,
1,532,32,6275,6286,,,,,,,,,,,,,,,,,,
1,32,532,6315,6425,,,,,,,,,,,,,,,,,,
1,532,32,6315,6425,,,,,,,,,,,,,,,,,,
1,32,532,6449,6467,,,,,,,,,,,,,,,,,,
1,532,32,6449,6467,,,,,,,,,,,,,,,,,,
1,32,532,6591,6598,,,,,,,,,,,,,,,,,,
1,532,32,6591,6598,,,,,,,,,,,,,,,,,,
1,630,788,7183,7198,,,,,,,,,,,,,,,,,,
1,788,630,7183,7198,,,,,,,,,,,,,,,,,,
1,788,823,7263,7271,,,,,,,,,,,,,,,,,,
1,823,788,7263,7271,,,,,,,,,,,,,,,,,,
1,449,788,7292,7294,,,,,,,,,,,,,,,,,,
1,788,449,7292,7294,,,,,,,,,,,,,,,,,,
1,788,823,7350,7361,,,,,,,,,,,,,,,,,,
1,823,788,7350,7361,,,,,,,,,,,,,,,,,,
1,575,788,7398,7414,,,,,,,,,,,,,,,,,,
1,788,575,7398,7414,,,,,,,,,,,,,,,,,,
1,32,560,7522,7532,,,,,,,,,,,,,,,,,,
1,560,32,7522,7532,,,,,,,,,,,,,,,,,,
1,459,788,7534,7546,,,,,,,,,,,,,,,,,,
1,788,459,7534,7546,,,,,,,,,,,,,,,,,,
1,47,532,7555,7575,,,,,,,,,,,,,,,,,,
1,532,47,7555,7575,,,,,,,,,,,,,,,,,,
1,32,459,7589,7598,,,,,,,,,,,,,,,,,,
1,459,32,7589,7598,,,,,,,,,,,,,,,,,,
1,32,449,7607,7615,,,,,,,,,,,,,,,,,,
1,449,32,7607,7615,,,,,,,,,,,,,,,,,,
1,4,108,7620,7677,,,,,,,,,,,,,,,,,,
1,108,4,7620,7677,,,,,,,,,,,,,,,,,,
1,32,575,7622,7633,,,,,,,,,,,,,,,,,,
1,575,32,7622,7633,,,,,,,,,,,,,,,,,,
1,788,823,7626,7631,,,,,,,,,,,,,,,,,,
1,823,788,7626,7631,,,,,,,,,,,,,,,,,,
1,449,575,7633,7643,,,,,,,,,,,,,,,,,,
1,575,449,7633,7643,,,,,,,,,,,,,,,,,,
1,788,823,7639,7645,,,,,,,,,,,,,,,,,,
1,823,788,7639,7645,,,,,,,,,,,,,,,,,,
1,32,788,7653,7664,,,,,,,,,,,,,,,,,,
1,788,32,7653,7664,,,,,,,,,,,,,,,,,,
1,449,788,7674,7695,,,,,,,,,,,,,,,,,,
