Location,Ant_ID,Ant_ID_(partner),start_time,end_time,,,,,,,,,,,,,,,,,,,,,
1,630,269,3006,3054,,,,,,,,,,,,,,,,,,,,,
1,269,630,3060,3083,,,,,,,,,,,,,,,,,,,,,
1,630,269,3060,3083,,,,,,,,,,,,,,,,,,,,,
1,67,269,3066,3070,,,,,,,,,,,,,,,,,,,,,
1,67,630,3066,3070,,,,,,,,,,,,,,,,,,,,,
1,269,67,3066,3070,,,,,,,,,,,,,,,,,,,,,
1,630,67,3066,3070,,,,,,,,,,,,,,,,,,,,,
1,269,630,3094,3180,,,,,,,,,,,,,,,,,,,,,
1,630,269,3094,3180,,,,,,,,,,,,,,,,,,,,,
1,797,594,3154,3156,,,,,,,,,,,,,,,,,,,,,
1,594,797,3154,3156,,,,,,,,,,,,,,,,,,,,,
1,630,67,3318,3397,,,,,,,,,,,,,,,,,,,,,
1,67,630,3318,3397,,,,,,,,,,,,,,,,,,,,,
1,790,15,3324,3334,,,,,,,,,,,,,,,,,,,,,
1,15,790,3324,3334,,,,,,,,,,,,,,,,,,,,,
1,630,67,3427,3445,,,,,,,,,,,,,,,,,,,,,
1,67,630,3427,3445,,,,,,,,,,,,,,,,,,,,,
1,269,630,3603,3607,,,,,,,,,,,,,,,,,,,,,
1,630,269,3603,3607,,,,,,,,,,,,,,,,,,,,,
1,630,269,3618,3624,,,,,,,,,,,,,,,,,,,,,
1,269,630,3618,3624,,,,,,,,,,,,,,,,,,,,,
1,q,72,4388,4427,,,,,,,,,,,,,,,,,,,,,
1,72,q,4388,4427,,,,,,,,,,,,,,,,,,,,,
1,797,594,4420,4428,,,,,,,,,,,,,,,,,,,,,
1,594,797,4420,4428,,,,,,,,,,,,,,,,,,,,,
1,657,797,4496,4518,,,,,,,,,,,,,,,,,,,,,
1,797,657,4496,4518,,,,,,,,,,,,,,,,,,,,,
1,33,571,4527,4539,,,,,,,,,,,,,,,,,,,,,
1,571,33,4527,4539,,,,,,,,,,,,,,,,,,,,,
1,571,797,4540,4587,,,,,,,,,,,,,,,,,,,,,
1,797,571,4540,4587,,,,,,,,,,,,,,,,,,,,,
1,571,797,4592,4684,,,,,,,,,,,,,,,,,,,,,
1,797,571,4592,4684,,,,,,,,,,,,,,,,,,,,,
1,539,637,4622,4633,,,,,,,,,,,,,,,,,,,,,
1,637,539,4622,4633,,,,,,,,,,,,,,,,,,,,,
1,539,637,4639,4641,,,,,,,,,,,,,,,,,,,,,
1,637,539,4639,4641,,,,,,,,,,,,,,,,,,,,,
1,539,637,4646,4665,,,,,,,,,,,,,,,,,,,,,
1,637,539,4646,4665,,,,,,,,,,,,,,,,,,,,,
1,539,637,4688,4726,,,,,,,,,,,,,,,,,,,,,
1,637,539,4688,4726,,,,,,,,,,,,,,,,,,,,,
1,67,33,4714,4717,,,,,,,,,,,,,,,,,,,,,
1,33,67,4714,4717,,,,,,,,,,,,,,,,,,,,,
1,571,797,4726,4737,,,,,,,,,,,,,,,,,,,,,
1,797,571,4726,4737,,,,,,,,,,,,,,,,,,,,,
1,269,637,4743,4752,,,,,,,,,,,,,,,,,,,,,
1,637,269,4743,4752,,,,,,,,,,,,,,,,,,,,,
1,36,571,4748,4779,,,,,,,,,,,,,,,,,,,,,
1,571,36,4748,4779,,,,,,,,,,,,,,,,,,,,,
1,36,797,4761,4771,,,,,,,,,,,,,,,,,,,,,
1,571,797,4761,4771,,,,,,,,,,,,,,,,,,,,,
1,797,36,4761,4771,,,,,,,,,,,,,,,,,,,,,
1,797,571,4761,4771,,,,,,,,,,,,,,,,,,,,,
