Location,Ant_ID,Ant_ID_(partner),start_time,end_time,,,,,,
1,637,727,9040,9053,,,,,,
1,727,637,9040,9053,,,,,,
1,637,727,9063,9071,,,,,,
1,727,637,9063,9071,,,,,,
1,291,764,9156,9320,,,,,,
1,764,291,9156,9320,,,,,,
1,194,646,9197,9202,,,,,,
1,646,194,9197,9202,,,,,,
1,532,539,9385,9389,,,,,,
1,539,532,9385,9389,,,,,,
1,194,727,9419,9490,,,,,,
1,727,194,9419,9490,,,,,,
1,727,194,9495,9610,,,,,,
1,194,727,9495,9610,,,,,,
1,539,295,9720,9928,,,,,,
1,295,539,9720,9928,,,,,,
1,758,331,10590,10597,,,,,,
1,331,758,10590,10597,,,,,,
1,758,699,10633,10635,,,,,,
1,699,758,10633,10635,,,,,,
1,758,699,10653,10656,,,,,,
1,699,758,10653,10656,,,,,,
1,1,532,10688,10695,,,,,,
1,532,1,10688,10695,,,,,,
1,758,67,10696,10699,,,,,,
1,67,758,10696,10699,,,,,,
1,758,67,10707,10862,,,,,,
1,67,758,10707,10862,,,,,,
1,67,758,10877,10958,,,,,,
1,758,67,10877,10958,,,,,,
1,67,758,10973,11177,,,,,,
1,758,67,10973,11177,,,,,,
1,67,758,11193,11312,,,,,,
1,758,67,11193,11312,,,,,,
1,175,67,11361,11597,,,,,,
1,67,175,11361,11597,,,,,,
1,175,67,11609,11917,,,,,,
1,67,175,11609,11917,,,,,,
1,18,539,11807,11809,,,,,,
1,539,18,11807,11809,,,,,,
1,262,539,11837,11933,,,,,,
1,539,262,11837,11933,,,,,,
1,36,561,11897,11918,,,,,,
1,561,36,11897,11918,,,,,,
1,143,77,11931,11938,,,,,,
1,77,143,11931,11938,,,,,,
1,533,819,11949,11958,,,,,,
1,819,533,11949,11958,,,,,,
1,72,18,11959,12233,,,,,,
1,18,72,11959,12233,,,,,,
1,175,67,11964,11968,,,,,,
1,67,175,11964,11968,,,,,,
1,175,67,11972,12040,,,,,,
1,67,175,11972,12040,,,,,,
1,135,539,11984,12040,,,,,,
1,539,135,11984,12040,,,,,,
1,262,298,12003,12018,,,,,,
1,298,262,12003,12018,,,,,,
1,143,265,12031,12041,,,,,,
1,265,143,12031,12041,,,,,,
1,819,353,12040,12069,,,,,,
1,353,819,12040,12069,,,,,,
1,727,637,12050,12158,,,,,,
1,637,727,12050,12158,,,,,,
1,262,699,12053,12069,,,,,,
1,699,262,12053,12069,,,,,,
